epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.602,1.8349,2.60435,1.84197,0.12715,0.12751,0.08192,0.02914,2.30277,3.21473,2.44114,0.000415761,0.000415761,0.000415761
2,767.976,1.86194,2.4255,1.89833,0.17145,0.43173,0.12136,0.04335,2.24815,2.88624,2.3687,0.000811825,0.000811825,0.000811825
3,1152.75,1.83497,2.33233,1.88009,0.32106,0.15529,0.09621,0.03452,2.32997,3.23599,2.644,0.00118726,0.00118726,0.00118726
4,1536.67,1.79466,2.23697,1.847,0.30826,0.25371,0.22786,0.08617,2.13213,2.5445,2.28315,0.00115719,0.00115719,0.00115719
5,1921.81,1.73195,2.06948,1.79293,0.86513,0.33947,0.48615,0.32292,2.01163,2.26552,2.17522,0.00112625,0.00112625,0.00112625
6,2311.09,1.68542,1.95242,1.75177,0.43533,0.55289,0.359,0.16604,1.88315,2.1712,2.0435,0.00109531,0.00109531,0.00109531
7,2697.53,1.64461,1.82821,1.70932,0.42738,0.34778,0.39243,0.18308,1.87208,1.88237,2.01764,0.00106437,0.00106437,0.00106437
8,3082.72,1.61197,1.76606,1.69098,0.44241,0.36466,0.39769,0.18868,1.78721,1.75891,1.95902,0.00103344,0.00103344,0.00103344
9,3467.11,1.58234,1.67394,1.65992,0.45511,0.65068,0.44882,0.21689,1.7587,1.74175,1.92766,0.0010025,0.0010025,0.0010025
10,3842.72,1.5657,1.61696,1.63801,0.6045,0.60172,0.52849,0.27758,1.75468,1.63408,1.91397,0.000971562,0.000971562,0.000971562
11,4227.71,1.53583,1.56525,1.622,0.67164,0.6062,0.71724,0.38775,1.65054,1.55061,1.84819,0.000940625,0.000940625,0.000940625
